MedicineCode,MedicineName,ScientificName,Alias,AliasPyCode,AliasWbCode,WbCode,PyCode,DefaultDosage,DosageQty,DosageUnit,Unit,Price,BigPackPrice,BigPackUnit,SmallPackPrice,SmallPackUnit,ChildrenPrice,FixPrice,RetPrice,InsuranceCode,InsurancePayRate,FactoryCode,Weight,WeightUnit,Volume,VolumeUnit,Remark,IsSkinTest,IsCompound,IsDrunk,ToxicLevel,IsHighRisk,IsRefrigerated,IsTumour,AntibioticLevel,IsPrecious,IsInsulin,IsAnaleptic,IsAllergyTest,IsLimited,LimitedNote,Specification,DosageForm,IsActive,IsFirstAid,PharmacyCode,PharmacyName,AntibioticPermission,PrescriptionPermission,BaseFlag,FrequencyCode,FrequencyName,UsageCode,UsageName,ExecDeptCode,Unpack,BigPackFactor,ExecDeptName,FactoryName,InsuranceTypem,MedicineProperty,SmallPackFactor,QTY,MeducalInsuranceCode
67,吗啡注射液,NULL,NULL,NULL,NULL,KKQ,MFZ(1ml),10,10,mg,支,3.72,NULL,支,NULL,支,NULL,0,3.72,NULL,甲,1062,10,mg,NULL,NULL,NULL,0,NULL,1,0,0,NULL,NULL,0,0,0,NULL,NULL,NULL,NULL,10mg/支,注射剂,1,0,1,西药房,NULL,NULL,1,NULL,NULL,7,静注,1,0,1,西药房,东北制药集团沈阳第一制药有限公司,NULL,1,1,1,XN02AAM022B002010201161
67,吗啡注射液,NULL,NULL,NULL,NULL,KKQ,MFZ(1ml),10,10,mg,支,3.72,NULL,支,NULL,支,NULL,0,3.72,NULL,甲,1062,10,mg,NULL,NULL,NULL,0,NULL,1,0,0,NULL,NULL,0,0,0,NULL,NULL,NULL,NULL,10mg/支,注射剂,1,0,1,西药房,NULL,NULL,1,NULL,NULL,7,静注,1,0,1,西药房,东北制药集团沈阳第一制药有限公司,NULL,1,1,2,XN02AAM022B002010201161
150,去氧肾上腺素注射液,NULL,NULL,NULL,NULL,FRJHEGQ(,QYSSXSZS,10,10,mg,支,35.8,NULL,支,NULL,支,NULL,0,71.6,NULL,乙,577,10,mg,NULL,NULL,NULL,0,NULL,0,0,1,NULL,NULL,0,0,0,NULL,NULL,NULL,NULL,10mg/支,注射液,1,0,1,西药房,NULL,NULL,6,NULL,NULL,7,静注,1,0,1,西药房,上海禾丰制药有限公司,NULL,1,2,4,XC01CAQ130B002010100673
199,吗啡缓释片,NULL,NULL,NULL,NULL,UYYP,MFHSP(MS,30,30,mg,片,9.2656,NULL,片,NULL,片,NULL,0,9.2656,NULL,甲,685,30,mg,NULL,NULL,NULL,0,NULL,1,0,0,NULL,NULL,0,0,0,NULL,NULL,NULL,NULL,30mg/片,片剂,1,0,1,西药房,NULL,NULL,1,NULL,NULL,1,口服,1,0,1,西药房,萌蒂（中国）制药有限公司,NULL,1,1,94,XN02AAM022A010010178660
222,鱼精蛋白注射液,NULL,NULL,NULL,NULL,QONRQ(5m,YJDBZ(5m,50,50,mg,支,98,NULL,支,NULL,支,NULL,0,490,NULL,甲,2946,50,mg,NULL,NULL,NULL,0,NULL,0,0,0,NULL,NULL,0,0,0,NULL,NULL,NULL,NULL,50mg/支,注射剂,1,0,1,西药房,NULL,NULL,1,NULL,NULL,7,静注,1,0,1,西药房,悦康药业集团,NULL,1,5,1,XV03ABY205B002010100011
222,鱼精蛋白注射液,NULL,NULL,NULL,NULL,QONRQ(5m,YJDBZ(5m,50,50,mg,支,98,NULL,支,NULL,支,NULL,0,490,NULL,甲,2946,50,mg,NULL,NULL,NULL,0,NULL,0,0,0,NULL,NULL,0,0,0,NULL,NULL,NULL,NULL,50mg/支,注射剂,1,0,1,西药房,NULL,NULL,1,NULL,NULL,7,静注,1,0,1,西药房,悦康药业集团,NULL,1,5,5,XV03ABY205B002010100011
333,氨茶碱片,NULL,NULL,NULL,NULL,RADT,ACJP(17),0.1,0.1,g,片,0.0392,NULL,片,NULL,片,NULL,0,3.92,NULL,甲,809,0.1,g,NULL,NULL,NULL,0,NULL,0,0,0,NULL,NULL,0,0,0,NULL,NULL,NULL,NULL,0.1g/片,片剂,1,0,1,西药房,NULL,NULL,1,NULL,NULL,1,口服,1,0,1,西药房,山东新华制药有限公司,NULL,1,100,382,XR03DAA113A001010104187
470,氯沙坦钾氢氯噻嗪片,NULL,NULL,NULL,NULL,IRGT(RS),LSTJQLSQ,62.5,62.5,mg,盒,38.01,NULL,盒,NULL,片,NULL,0,38.01,NULL,乙,962,62.5,mg,NULL,NULL,NULL,0,NULL,0,0,0,NULL,NULL,0,0,0,NULL,NULL,NULL,NULL,62.5mg/片*7片/盒,片剂,1,0,1,西药房,NULL,NULL,6,NULL,NULL,1,口服,1,0,7,西药房,杭州默沙东制药有限公司,NULL,1,7,49,XC09DAL246A001010104495
470,氯沙坦钾氢氯噻嗪片,NULL,NULL,NULL,NULL,IRGT(RS),LSTJQLSQ,62.5,62.5,mg,盒,38.01,NULL,盒,NULL,片,NULL,0,38.01,NULL,乙,962,62.5,mg,NULL,NULL,NULL,0,NULL,0,0,0,NULL,NULL,0,0,0,NULL,NULL,NULL,NULL,62.5mg/片*7片/盒,片剂,1,0,1,西药房,NULL,NULL,6,NULL,NULL,1,口服,1,0,7,西药房,杭州默沙东制药有限公司,NULL,1,7,130,XC09DAL246A001010104495
534,硝酸甘油注射液,NULL,NULL,NULL,NULL,DSAI,XSGYZ1ml,5,5,mg,支,12.5,NULL,支,NULL,支,NULL,0,125,NULL,甲,993,5,mg,NULL,NULL,NULL,0,NULL,0,0,0,NULL,NULL,0,0,0,NULL,NULL,NULL,NULL,5mg/支,注射液,1,1,1,西药房,NULL,NULL,1,NULL,NULL,3,静滴,1,0,1,西药房,山西康宝生物制品股份有限公司,NULL,1,10,270,XC01DAX072B002020102902
